CBM_cost,Estado,fecha_de_salida,fecha_de_llegada,contenedor,codigo,producto,cantidad,costo,cantidad_por_caja,cantidad_de_cajass,cm_a,cm_l,cm_p,CBMM,CBM_TOTAL,costo_caja,costo_total_envio,costo_envio_unit,costo_unitario_prod,costo_total,,,,
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Cafetera Tipo Greca De Acero Inoxidable 9 Tazas,192.00,$4.20,24,8,57.5,35,49,$0.099,$0.79,$49.31,$394.45,$2.05,$6.25,1200.85,,,MASS2768,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Proyector Inteligente Ultra HD de Alto Brillo con Enfoque Automático 1080P,180.00,$42.00,20,9,81,,43.5,,,,,,,,,,MASS2767,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Soldado Rey oscilante L-19 cm
Modelo oscilante a pilas",300.00,$2.00,100,3,25,46,38,$0.044,$0.13,$21.85,$65.55,$0.22,$2.22,665.55,,,MASS2582,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Masajeador vibrador succionador de clítoris,100.00,$6.50,50,2,58,48,33,$0.092,$0.18,$45.94,$91.87,$0.92,$7.42,741.872,,,MASS2455,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1378,Maquina Kemei De Afeitar Cabello Shaiver Kemei Km-2024,120.00,$5.00,60,2,43.5,32,50.5,$0.070,$0.14,$35.15,$70.30,$0.59,$5.59,670.296,,,MASS2388,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1527,MINI MOTOSIERRA INALAMBRICA PORTATIL 6 EN 1 CON2 BATERIAS,80.00,$8.50,10,8,59.5,38,42,$0.095,$0.76,$47.48,$379.85,$4.75,$13.25,1059.848,,,MASS2302 MASS0150 MASS2440 MASS1259,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1452,COMPRESA PARA FRIO/CALOR PARA DOLOR DE CABEZA MIGRAÑA,48.00,$1.25,24,2,38,27,25,$0.026,$0.05,$12.83,$25.65,$0.53,$1.78,85.65,,,MASS2068,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2195 MASS2703 MASS2704,"COCHE PARA BEBE VIAJERO YOYO (15 negro, 10 blanquecino, 5 Azul)",30.00,$45.00,1,30,38,,67.5,,,,,,,,,,MASS2059/MASS2060,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Nuevas gafas AI con cámara de 800W para hombres, gafas de traducción inteligentes que cambian de Color, grabación de fotos y vídeos, gafas de sol inteligentes impermeables para llamadas",120.00,$37.50,40,3,50,30,38,$0.057,$0.17,$28.50,$85.50,$0.71,$38.21,4585.5,,,MASS2056,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2651,MASAJEADOR REDUCTOR DE CELULITIS TERAPIA INFRAROJO (720Negro),720.00,$4.85,30,24,51,47,40,$0.096,$2.30,$47.94,"$1,150.56",$1.60,$6.45,4642.56,,,MASS1904,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Bastidor principal de cinco capas y una cara
(main frame) 90*76*180",15.00,,14,1.071428571,,,,,,,,,,,,,"MASS1813 BLANCA
MASS1802 ROSADO",2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2582,INCUBADORA DE HUEVOS 48 PZ 110V/220V,100.00,$20.85,1,100,40,42,12,$0.020,$2.02,$10.08,"$1,008.00",$10.08,$30.93,3093,,,MASS1806,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,REPOSICION,,,,,,,,,,,,,,,,,MASS1692,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2769,Mini Cámara Deportiva De Acción 4K WiFi Pantalla Giratoria,100.00,$16.00,100,1,39,,63,,,,,,,,,,MASS1574,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2733,MAQUINA CAFE R.9136-110,120.00,$46.00,4,30,64,54,33,$0.114,$3.42,$57.02,"$1,710.72",$14.26,$60.26,7230.72,,,MASS1551,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Vibrador tipo conejo recargable con estimulador de clítoris por lamido,300.00,$2.35,100,3,48,46,23,$0.051,$0.15,$25.39,$76.18,$0.25,$2.60,781.176,,,MASS1452,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0615 MASS0616 MASS1171,"VIBRADOR RECARGABLE 30 VELOCIDADES YCYY3001U (100MORADO,300ROSADO,100NEGRO)",500.00,$2.60,100,5,40,27,33,$0.036,$0.18,$17.82,$89.10,$0.18,$2.78,1389.1,,,MASS1282,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2324,Q8 AURICULAR TOTALMENTE COMPATIBLE CON EL ADAPTADOR TIPO C + APPLE UNO A DOS,200.00,$4.50,100,2,52.5,48,24,$0.060,$0.12,$30.24,$60.48,$0.30,$4.80,960.48,,,MASS1206,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Radio Frecuencia Facial Electroporador 5en1 Estética Fototer,150.00,$6.50,30,5,47,44.5,44.5,$0.093,$0.47,$46.54,$232.68,$1.55,$8.05,1207.679375,,,"MASS1009 NEGRO
MASS1011 BLANCO",2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Intercomunicador y auriculares BT para casco de motocicleta Y20 MAX con mezcla de audio, V5.3",200.00,$7.50,50,4,42,28,60,$0.071,$0.28,$35.28,$141.12,$0.71,$8.21,1641.12,,,MASS0621,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Sobre personalizado para embalar 38 x 52cm rollo 100,210.00,$5.50,14,15,40,,25,,,,,,,,,,MASS0292 Negro,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Lonchera Táctica para Hombre, Resistente, Hermética",160.00,$7.88,16,10,60,40,40,$0.096,$0.96,$48.00,$480.00,$3.00,$10.88,1740.8,,,MASS0128,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2456,Radio Reproductor Pantalla Equipo Sonido Bluetooth Auto,120.00,$15.50,20,6,42,60,35,$0.088,$0.53,$44.10,$264.60,$2.21,$17.71,2124.6,,,MASS0040,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Juguete tipo giroscopio o bola de descompresión impreso en 3d con mecanismo de empuje y giro ,576.00,$0.40,288,2,51,40,42,$0.086,$0.17,$42.84,$85.68,$0.15,$0.55,316.08,,,R.9132-110 1.2L,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Dildo realista de silicona líquida ""Emperador Romano""",90.00,$6.45,30,3,38,35.5,50,$0.067,$0.20,$33.73,$101.18,$1.12,$7.57,681.675,,,R.9100-110 0.6L,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2342,"Freidora de aceite 5,5L R.5220-110V",60.00,$12.65,4,15,58,45,52,$0.136,$2.04,$67.86,"$1,017.90",$16.97,$29.62,1776.9,,,MASSS2080 MASS2081,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,"MASS0292
MASS0291
MASS0289
MASS0290",PISTOLA MASAJEADORA RECARGABLE SY-720 (NEGRO 360/ GRIS 80/ ROJO 80/ VERDE 80),600.00,$2.45,40,15,69.5,30.5,30.5,$0.065,$0.97,$32.33,$484.89,$0.81,$3.26,1954.892813,,,MASS2781,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1648,ORGANIZADOR DE LIMPIEZA,150.00,$1.85,30,5,54,,35.5,,,,,,,,,,MASS2780,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Mini Plancha de Pelo Recargable Portátil, Cepillo Alisador Inalámbrico con Carcasa Anti-Quemaduras",400.00,$3.75,80,5,45,30,44,$0.059,$0.30,$29.70,$148.50,$0.37,$4.12,1648.5,,,MASS2779,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Varita de succión Kaili,130.00,$5.20,65,2,54,45,27,$0.066,$0.13,$32.81,$65.61,$0.50,$5.70,741.61,,,MASS2777,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2192,BOLSO DE LAPTOP CON USB Negro60/Azul30/Gris30,120.00,$2.80,1,120,45,30,8,$0.011,$1.30,$5.40,$648.00,$5.40,$8.20,984,,,MASS2773,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Falo de cristal de L-19 cm,300.00,$2.00,150,2,45,25,58.5,$0.066,$0.13,$32.91,$65.81,$0.22,$2.22,665.8125,,,MASS2772,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Masajeador de Cuello y Hombros 3D con Calor, Masaje Shiatsu 4D",240.00,$8.00,24,10,53,41.5,60,$0.132,$1.32,$65.99,$659.85,$2.75,$10.75,2579.85,,,MASS2771,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Juguete sexual 3 en 1 con función de golpeteo para el punto G
Vibrador masajeador",100.00,$7.25,50,2,53,43,30,$0.068,$0.14,$34.19,$68.37,$0.68,$7.93,793.37,,,MASS2770,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1904,CAMARA TIPO BOMBILLO BASE E27 1080P,800.00,$2.90,100,8,73,41,41.5,$0.124,$0.99,$62.10,$496.84,$0.62,$3.52,2816.838,,,MASS2766,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0943,PISTOLA MASAJEADORA GRANDE GRIS,260.00,$4.50,20,13,64,38,46,$0.112,$1.45,$55.94,$727.17,$2.80,$7.30,1897.168,,,MASS2765,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,AGORA,,,,,,,,,,,,,,,,,MASS2764,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Vibrador telescópico tipo consolador,68.00,$9.00,34,2,56,41,33,$0.076,$0.15,$37.88,$75.77,$1.11,$10.11,687.768,,,MASS2763,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2775,Lentes Inteligentes Bluetooth F06 Con Auriculares Manos Libres,250.00,$2.88,50,5,36.5,,28,,,,,,,,,,MASS2762,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2774,Pulsera Inteligente Smart Band H59 Monitor Actividad Fitness,200.00,$10.50,100,2,45.5,,36,,,,,,,,,,MASS2733,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0881,AMOLADOR DE CUCHILLO,288.00,$0.40,144,2,57,46,54,$0.142,$0.28,$70.79,$141.59,$0.49,$0.89,256.788,,,MASS2730,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1265,SET DE SARTENES HIERRO FUNDIDO,120.00,$9.35,5,24,47,40,35,$0.066,$1.58,$32.90,$789.60,$6.58,$15.93,1911.6,,,"MASS2651
MASS2068",1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1039,MAQUINA PLASTIFICADORA LAMINADORA (10 HOJAS),300.00,$7.80,10,30,42,40,30,$0.050,$1.51,$25.20,$756.00,$2.52,$10.32,3096,,,MASS2651,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2767,Cámara Digital Infantil Para Niños Fotos Video Pantalla LCD,400.00,$2.50,100,4,44,,63,,,,,,,,,,MASS2650,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2335,MAQ. YOGURT MAKER REDONDA R.914404-110 RAF,100.00,$6.65,4,25,51.5,27,35,$0.049,$1.22,$24.33,$608.34,$6.08,$12.73,1273.34375,,,MASS2649,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2606,"Zapatero a prueba de polvo, 5 capas",180.00,$3.68,5,36,59,27,23,$0.037,$1.32,$18.32,$659.50,$3.66,$7.34,1321.902,,,MASS2647,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2605,ZAPATERA 7 NIVELES A PRUEBA DE POLVO,180.00,$4.50,5,36,59,27,28,$0.045,$1.61,$22.30,$802.87,$4.46,$8.96,1612.872,,,MASS2646,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2345,Licuadora Electrica negra R.92809B-110,60.00,$8.63,6,10,63,56,36,$0.127,$1.27,$63.50,$635.04,$10.58,$19.21,1152.84,,,MASS2643,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Potente Vibrador de Punto G y Clítoris Recargable calefacción,160.00,$4.50,80,2,52,47,36,$0.088,$0.18,$43.99,$87.98,$0.55,$5.05,807.984,,,MASS2642,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,PRODUCTOS NUEVOS,,,,,,,,,,,,,,,,,MASS2641,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Masajeador de ojo con carlo a 46grados, vibracion compresa termica y musica",150.00,$16.50,30,5,48,,46,,,,,,,,,,MASS2640,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,mini ups AGORA 30.000 mah POE830P,500.00,$20.00,40,12.5,37.3,33,40.5,$0.050,$0.62,$24.93,$311.57,$0.62,$20.62,10311.57156,,,MASS2639,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Corneta Bluetooh Compacto y Potente ,400.00,$3.35,100,4,41,41,48,$0.081,$0.32,$40.34,$161.38,$0.40,$3.75,1501.376,,,MASS2638,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2589,ESTANTE PORTATIL 6 NIVELES 2 COLUMNAS DE TELA NEGRO 1.5M,140.00,$2.50,10,14,58.5,41.5,37,$0.090,$1.26,$44.91,$628.79,$4.49,$6.99,978.78725,,,MASS2637,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Cepillo Limpiador de Película de Aceite para Automóviles,420.00,$0.28,60,7,49,,25,,,,,,,,,,MASS2636,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0621,MAQUINA PARA AFEITAR PERRO,70.00,$2.90,70,1,58.5,45,34.5,$0.091,$0.09,$45.41,$45.41,$0.65,$3.55,248.410625,,,MASS2635,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,R.9100-110 0.6L,Cafetera raf 6 tazas,144.00,$6.65,12,12,51.5,44.5,55,$0.126,$1.51,$63.02,$756.28,$5.25,$11.90,1713.8775,,,MASS2634,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Varilla de vibración de segunda generación de Inspur,150.00,$4.50,100,1.5,49.5,39.5,34,$0.066,$0.10,$33.24,$49.86,$0.33,$4.83,724.858875,,,MASS2633,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Varita vibradora de tres puntas con función de calentamiento,70.00,$4.80,70,1,55,38,33,$0.069,$0.07,$34.49,$34.49,$0.49,$5.29,370.485,,,MASS2632,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,AFFARI,,,,,,,,,,,,,,,,,MASS2631,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Auriculares Bluetooth De Conducción Ósea Inalámbricos Deportivos,120.00,$2.50,120,1,50.5,,33,,,,,,,,,,MASS2630,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0701,LUBRICANTE ANAL LOVE MONOGATARI 200ML ZTAO01,328.00,$0.68,164,2,58,66,35,$0.134,$0.27,$66.99,$133.98,$0.41,$1.09,357.02,,,MASS2628,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Masajeador de Cabeza Automático Inteligente con Diseño de Cabeza de Pulpo, Material ABS+PP
(bateria 500mah, )",240.00,$2.00,40,6,78,,64,,,,,,,,,,MASS2627,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Ventilador de Techo Portátil Recargable 2026, Ventilador USB Inalámbrico Colgante Dormitorio de Estudiantes, Camping y Exteriores",240.00,$5.68,60,4,45.5,,42,,,,,,,,,,MASS2626,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1873,Mini Maquina De Coser 12 Puntadas,180.00,$10.00,6,30,45.5,32.5,61,$0.090,$2.71,$45.10,"$1,353.06",$7.52,$17.52,3153.05625,,,MASS2625,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Juguete Sensorial Antiestrés de Peluche con Forma de Dumpling Glitter Mystery,432.00,$0.45,144,3,62,32,50.5,$0.100,$0.30,$50.10,$150.29,$0.35,$0.80,344.688,,,MASS2624,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Tanga sexy sin entrepierna,400.00,$0.55,100,4,15,,50,,,,,,,,,,MASS2622,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,R.9132-110 1.2L,Cafetera raf 12 tazas,160.00,$7.65,8,20,47.5,38,63,$0.114,$2.27,$56.86,"$1,137.15",$7.11,$14.76,2361.15,,,MASS2621,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0518,STUD 100,100.00,$0.79,300,0.3333333333,48,31,39,$0.058,$0.02,$29.02,$9.67,$0.10,$0.89,88.672,,,MASS2614,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2067,Juego De Dados Milimétricos De 12 Piezas Con Rachet Grande,200.00,$2.85,40,5,53,50,30,$0.080,$0.40,$39.75,$198.75,$0.99,$3.84,768.75,,,MASS2606,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Juego de 24 Llaves de Impacto Universales de Alta Resistencia con Enchufe de 1/2,120.00,$12.50,1,120,44,19,5,$0.004,$0.50,$2.09,$250.80,$2.09,$14.59,1750.8,,,MASS2605,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Cinturón Corrector de postura ajustable Lumbar para hombro,200.00,$2.65,100,2,50,,50,,,,,,,,,,MASS2602,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Bolsa Impermeable de PVC para Deportes, con Cinturón Ajustable, Correa de Hombro Curva, Bolsillo Interior con Cremallera, 25L",210.00,$8.00,15,14,46,35,35,$0.056,$0.79,$28.18,$394.45,$1.88,$9.88,2074.45,,,MASS2601,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2244,Aceite de masaje corporal Aumento de pene xxxl 10 ml,400.00,$0.45,800,0.5,54,40,40,$0.086,$0.04,$43.20,$21.60,$0.05,$0.50,201.6,,,MASS2600,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1806,CAMARA DE SEGURIDAD DOBLE ROBOTICA 360° GRADOS HD MICRO SD WIFFI,250.00,$5.50,50,5,56.5,28.5,53.4,$0.086,$0.43,$42.99,$214.97,$0.86,$6.36,1589.968375,,,MASS2599,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Lápiz De Acupuntura 5 Cabezales Recargable Fisioterapia,200.00,$2.40,100,2,42,32,45,$0.060,$0.12,$30.24,$60.48,$0.30,$2.70,540.48,,,MASS2598,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2768,Cámara Infantil Digital Con Impresora Térmica Instantánea,90.00,$10.50,30,3,35.5,,34,,,,,,,,,,MASS2589,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2730,Audifonos Inalambricos Recargables Bluetooth Md,100.00,$2.90,100,1,28,36,52,$0.052,$0.05,$26.21,$26.21,$0.26,$3.16,316.208,,,MASS2588,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"ENZO 6 en 1, Marca OEM, Multi-Styler Iónico, Secador de Pelo, Cepillo para Cabello Lacio y Rizado, Set de Belleza",120.00,$31.50,12,10,34,68,40,$0.092,$0.92,$46.24,$462.40,$3.85,$35.35,4242.4,,,MASS2587,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Dispositivo Multifuncional de Limpieza de Puntos Negros con 6 Cabezales de Succión Compatibles,200.00,$5.50,50,4,51,33,60,$0.101,$0.40,$50.49,$201.96,$1.01,$6.51,1301.96,,,MASS2585,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2215,FOMENTERA ESTERILLA ELECTRICA,390.00,$5.25,30,13,56,47,32,$0.084,$1.09,$42.11,$547.46,$1.40,$6.65,2594.956,,,MASS2477,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Corneta de alta potencia altavoz portátil con luces RGB multicolor,300.00,$6.50,50,6,41,38,44,$0.069,$0.41,$34.28,$205.66,$0.69,$7.19,2155.656,,,MASS2474,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Vibrador Portátil con Control Remoto por Aplicación,432.00,$2.50,432,1,50,40,30,$0.060,$0.06,$30.00,$30.00,$0.07,$2.57,1110,,,MASS2470,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1301,EXTENSOR DE SEÑAL 300 MBPS BLANCOS,300.00,$2.55,100,3,58,38,44,$0.097,$0.29,$48.49,$145.46,$0.48,$3.03,910.464,,,MASS2463,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2455,Teclado Y Mouse Inalambrico Bluetooth Recargable,100.00,$3.20,50,2,25,16,50,$0.020,$0.04,$10.00,$20.00,$0.20,$3.40,340,,,MASS2462,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2187,"Champu Meidu Cubre Canas 3 En 1 500 Ml Ojo Original
(180 black)",64.00,$1.80,8,8,71.5,48,27,$0.093,$0.74,$46.33,$370.66,$5.79,$7.59,485.856,,,MASS2461,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,"Vibrador de Succión, Juguetes Sexuales, Estimulador de Clítoris con Pulsaciones Recargable",200.00,$9.00,50,4,52,49,38,$0.097,$0.39,$48.41,$193.65,$0.97,$9.97,1993.648,,,MASS2457,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0850,"VIBRADOR POR APLICACION REMOTO YPM
(ROSADO)",400.00,$2.45,100,4,58,46,22,$0.059,$0.23,$29.35,$117.39,$0.29,$2.74,1097.392,,,MASS2456,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Mini Vibrador Recargable con Forma de Huevo recargable,200.00,$1.95,400,0.5,51,34,35,$0.061,$0.03,$30.35,$15.17,$0.08,$2.03,405.1725,,,MASS2423,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,MIni ups AGORA 20.000 mah POE-632E,500.00,$13.50,40,12.5,37.3,33,40.5,$0.050,$0.62,$24.93,$311.57,$0.62,$14.12,7061.571563,,,MASS2422,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2588,ESTANTE PARA ZAPATOS Y SOMBREROS 5 NIVELES 1.65M X 79CM X 30CM,140.00,$4.60,10,14,80.5,52,35.5,$0.149,$2.08,$74.30,"$1,040.22",$7.43,$12.03,1684.221,,,MASS2421,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Molde de bola de hielo grande,200.00,$2.65,40,5,40,28,60,$0.067,$0.34,$33.60,$168.00,$0.84,$3.49,698,,,MASS2420,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Apilador Electrico 3000 kg 3metros,1.00,"$1,700.00",1,1,90,,200,,,,,,,,,,MASS2419,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Monitor de frecuencia cardiaca fetal T502 (estetoscopio doppler),180.00,$3.15,60,3,54,,38,,,,,,,,,,MASS2418,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Pelota giratoria con luz antiestres ,576.00,$0.65,288,2,58,26,55,$0.083,$0.17,$41.47,$82.94,$0.14,$0.79,457.34,,,MASS2417,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2778,Audífonos Bluetooth A9 Inalámbricos Con Pantalla Táctil ANC,240.00,$4.35,120,2,61.5,,24,,,,,,,,,,MASS2416,1
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0288,MASAJEADOR DE CUELLO RECARGABLE CON 4 ELECTRODOS,240.00,$2.32,60,4,,,,,,,,,,,,,MASS2415,1
