"Bodega","Ubicación","Categoría Artículo Padre","Categoría Artículo","Artículo","Peso","Unidad Medida Peso","Lote","Serie","Unidad Medida","Cantidad","Tipo Transacción","Transacción","Codigo Transacción","Fecha Transacción","Fecha Vencimiento","Bodega Destino","Módulo Origen","Descripción Movimiento","Usuario"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-15-COMPUTACION","MASS2308-SILLA EJECUTIVA DE ESCRITORIO SE01","-","-","-","-","Unid","3.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-26-RAF","MASS2349-BATIDORA DE MANO 800W R.6629-110 RAF","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2635-TERMO OWALA 30 ONZ 900 ML VERDE","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2585-ZAPATERA Y PERCHERO 4 NIVELES 152CM X 59CM X 25XCM","-","-","-","-","Unid","3.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1745-ROLLO PANEL DECORATIVO BD871 NEGRO CON BLANCO","-","-","-","-","Unid","2.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261248","2026090003","01/09/2026 05:02 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2604-ESTANTE PLASTICO NEGRO AGORA 178*60*30CM","-","-","-","-","Unid","2.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-06-AUDIFONOS","MASS2226-AUDIFONO INALAMBRICO P2961 Bluetooth RECARGABLE NEGRO","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-07-RELOJES INTELIGENTES","MASS2083-SET DE CABALLERO 001 NEGRO","-","-","-","-","Unid","4.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1975-MAQUINA ELECTRICA QUITA PELUSA RECARGABLE","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1908-SKIN SCRUBBER BLANCO","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-15-COMPUTACION","MASS1601-BOLSO DE LAPTOP REFLECTIVO GRIS","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1562-WALL PANEL 3D D094 BLANCO 1MM DE GROSOR 500MM*500MM","-","-","-","-","Unid","10.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1423-PANEL DECORATIVO DE PARED HAYE-09 2MM DE GROSOR 30CM*60CM","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1417-FOAMI 3D PLH-01 NEGRO 70CM*77CM","-","-","-","-","Unid","11.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261250","2026090004","01/09/2026 05:13 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0609-VIBRADOR REALISTICO CON BASE Y CONTROL QBTG62","-","-","-","-","Unid","2.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261252","2026090005","01/09/2026 05:22 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0842-LUBRCANTE MULTIORGASMICO CLIMAX OLO 20 ML","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261252","2026090005","01/09/2026 05:22 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS2237-PLUG ANAL SILICONA NEGRO","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261252","2026090005","01/09/2026 05:22 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS0200-DISPENSADOR DE AGUA ELECTRONICO","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2739-ESENCIA RHJY","-","-","-","-","Unid","2.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS2708-CINTURON MASAJEADOR ADELGAZANTE REDUCTOR DE GRASA ABDOMEN Y CINTURA","-","-","-","-","Unid","2.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-20-CABLES, ADAPTADORES Y CONVERTIDORES","MASS1540-HUB 4 PUERTOS","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-16-FERRETERIA","MASS1347-SET DE DADOS 46 PCS","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS0934-CUERDA DE SALTAR AJUSTABLE","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-17-AUDIO Y VIDEO","MASS0634-MINI CAMARA ESPIA WIFI A9","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000261253","2026090002","01/09/2026 05:27 AM","-","-","INVENTARIOS","MFLC SOLICIATDO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-15-COMPUTACION","MASS2307-SILLA PRESIDENCIAL POSA PIE SP01","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261255","00000000000000043087","01/09/2026 07:09 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS2734-MINI CEPILLO ALISADOR TÉRMICO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261262","00000000000000043088","01/09/2026 07:28 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS1996-FAJA REDUCTORA MOLDEADORA CINTURA NEOPRENO NEGRO TALLA M","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261264","00000000000000043089","01/09/2026 07:31 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS1996-FAJA REDUCTORA MOLDEADORA CINTURA NEOPRENO NEGRO TALLA M","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261265","00000000000000043090","01/09/2026 07:36 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0363-PLUG ANAL SET 3 UNIDADES BLANCO METALPLUGSET","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261268","00000000000000043091","01/09/2026 07:40 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-26-RAF","MASS2344-EXTRACTOR DE JUGO R.92817S-110 RAF","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261269","00000000000000043092","01/09/2026 07:44 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS1997-FAJA REDUCTORA MOLDEADORA CINTURA NEOPRENO NEGRO TALLA L","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261271","00000000000000043093","01/09/2026 07:51 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS2732-FREIDORA DE AIRE DIGITAL AGORA CRISPY 4.5L+1.8L DOBLE VIDRIO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261273","00000000000000037780","01/09/2026 07:56 AM","-","-","FACTURACION","EE
Detalle de orden #209494348
YUMMY","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0406-VIBRADOR RABBIT SUPER MUTE 10 VELOCIDADES MORADO YCYY001","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261275","00000000000000000232","01/09/2026 07:56 AM","-","-","FACTURACION","HG VENTA CONTADO","ADMASISTENTE2@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS1947-MASTURBADOR CHEAP THRILLS, SUAVE Y FLEXIBLE VAGINA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261276","00000000000000037781","01/09/2026 08:00 AM","-","-","FACTURACION","LB 209393867
YUMMY","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS2244-ACEITE DE MASAJE CORPORAL AUMENTO DE PENE XXXL 10 ML","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261276","00000000000000037781","01/09/2026 08:00 AM","-","-","FACTURACION","LB 209393867
YUMMY","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1976-MAQUINA AFEITAR KEMEI KM-1071 RECARGABLE","-","-","-","-","Unid","6.00","FVE-Factura de Venta (-) ","33202609000000261277","00000000000000043094","01/09/2026 08:02 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-26-RAF","MASS2454-PLANCHA A VAPOR DE MANO ROJO 800W R.91313W-110 RAF","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261278","00000000000000043095","01/09/2026 08:06 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1525-ZAPATERA DE METAL 6 NIVELES","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261280","00000000000000043096","01/09/2026 08:10 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-14-ILUMINACION","MASS2276-LAMPARA DE LIBRO MARRON CAOBA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261281","00000000000000043097","01/09/2026 08:13 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1648-ORGANIZADOR DE LIMPIEZA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261283","00000000000000043098","01/09/2026 08:16 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1750-FOAMI 3D 70CM*77CM PSHS-1-01 ACANALADO BLANCO","-","-","-","-","Unid","24.00","FVE-Factura de Venta (-) ","33202609000000261285","00000000000000043099","01/09/2026 08:23 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS0292-PISTOLA MASAJEADORA ELECTRICA SY-720 NEGRO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261286","00000000000000043100","01/09/2026 08:27 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-26-RAF","MASS2379-MAQUINA PATILLERA BUDA R.430 RAF","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261287","00000000000000043101","01/09/2026 08:31 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-17-AUDIO Y VIDEO","MASS0634-MINI CAMARA ESPIA WIFI A9","-","-","-","-","Unid","1.00","NCV-Nota de Crédito  (+) ","33202609000000261288","00000000000000000753","01/09/2026 08:34 AM","-","-","FACTURACION","Transacción generada desde el módulo: FACTURACION por anulación de la transacción: FVE-Factura de Venta, código: 00000000000000037716","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS1082-PELADOR DE PI A","-","-","-","-","Unid","1.00","NCV-Nota de Crédito  (+) ","33202609000000261288","00000000000000000753","01/09/2026 08:34 AM","-","-","FACTURACION","Transacción generada desde el módulo: FACTURACION por anulación de la transacción: FVE-Factura de Venta, código: 00000000000000037716","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-06-AUDIFONOS","MASS2730-AUDÍFONOS INALÁMBRICOS TIPO CLIP MD","-","-","-","-","Unid","1.00","NCV-Nota de Crédito  (+) ","33202609000000261288","00000000000000000753","01/09/2026 08:34 AM","-","-","FACTURACION","Transacción generada desde el módulo: FACTURACION por anulación de la transacción: FVE-Factura de Venta, código: 00000000000000037716","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0603-CONSOLADOR DOBLE CABEZA CARNE WBDS001","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261289","00000000000000037783","01/09/2026 08:34 AM","-","-","FACTURACION","LB 209470013","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0614-VIBRADOR REALISTICO YUECHAO CARNE BLDZD001","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261289","00000000000000037783","01/09/2026 08:34 AM","-","-","FACTURACION","LB 209470013","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1976-MAQUINA AFEITAR KEMEI KM-1071 RECARGABLE","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000261290","00000000000000043102","01/09/2026 08:34 AM","-","-","FACTURACION","KA","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2784-CREATINA MONOHIDRATADA VENTURE PAL 60 SERVICIOS","-","-","-","-","Unid","2.00","NCV-Nota de Crédito  (+) ","33202609000000261292","00000000000000000754","01/09/2026 08:35 AM","-","-","FACTURACION","Transacción generada desde el módulo: FACTURACION por anulación de la transacción: FVE-Factura de Venta, código: 00000000000000037073","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS0200-DISPENSADOR DE AGUA ELECTRONICO","-","-","-","-","Unid","1.00","NCV-Nota de Crédito  (+) ","33202609000000261292","00000000000000000754","01/09/2026 08:35 AM","-","-","FACTURACION","Transacción generada desde el módulo: FACTURACION por anulación de la transacción: FVE-Factura de Venta, código: 00000000000000037073","ADMASISTENTE@MASSHOPPING.COM.VE"
